Matthew Dellavedova,PG,mil,http://www.basketball-reference.com/players/d/dellama01/gamelog/
Luol Deng,SF,lal,http://www.basketball-reference.com/players/d/denglu01/gamelog/
DeMar DeRozan,SG,tor,http://www.basketball-reference.com/players/d/derozde01/gamelog/
Boris Diaw,C,uth,http://www.basketball-reference.com/players/d/diawbo01/gamelog/
Gorgui Dieng,C,min,http://www.basketball-reference.com/players/d/dienggo01/gamelog/
Spencer Dinwiddie,PG,chi,http://www.basketball-reference.com/players/d/dinwisp01/gamelog/
Toney Douglas,PG,cle,http://www.basketball-reference.com/players/d/douglto01/gamelog/
Goran Dragic,PG,mia,http://www.basketball-reference.com/players/d/dragigo01/gamelog/
Andre Drummond,C,det,http://www.basketball-reference.com/players/d/drumman01/gamelog/
Jared Dudley,SF,pho,http://www.basketball-reference.com/players/d/dudleja01/gamelog/
Mike Dunleavy,SG,cle,http://www.basketball-reference.com/players/d/dunlemi02/gamelog/
Kevin Durant,SF,gsw,http://www.basketball-reference.com/players/d/duranke01/gamelog/
Cleanthony Early,SF,nyk,http://www.basketball-reference.com/players/e/earlycl01/gamelog/
Jarell Eddie,SG,was,http://www.basketball-reference.com/players/e/eddieja01/gamelog/
Wayne Ellington,SG,mia,http://www.basketball-reference.com/players/e/ellinwa01/gamelog/
Monta Ellis,SG,ind,http://www.basketball-reference.com/players/e/ellismo01/gamelog/
James Ennis,SF,mem,http://www.basketball-reference.com/players/e/ennisja01/gamelog/
Tyler Ennis,PG,hou,http://www.basketball-reference.com/players/e/ennisty01/gamelog/
Jeremy Evans,SF,ind,http://www.basketball-reference.com/players/e/evansje01/gamelog/
Tyreke Evans,SG,nor,http://www.basketball-reference.com/players/e/evansty01/gamelog/
Dante Exum,PG,uth,http://www.basketball-reference.com/players/e/exumda01/gamelog/
Festus Ezeli,C,por,http://www.basketball-reference.com/players/e/ezelife01/gamelog/
Kenneth Faried,PF,den,http://www.basketball-reference.com/players/f/farieke01/gamelog/
Jordan Farmar,PG,sac,http://www.basketball-reference.com/players/f/farmajo01/gamelog/
Derrick Favors,PF,uth,http://www.basketball-reference.com/players/f/favorde01/gamelog/
Cristiano Felicio,PF,chi,http://www.basketball-reference.com/players/f/feliccr01/gamelog/
Raymond Felton,PG,lac,http://www.basketball-reference.com/players/f/feltora01/gamelog/
Evan Fournier,SG,orl,http://www.basketball-reference.com/players/f/fournev01/gamelog/
Randy Foye,SG,bkn,http://www.basketball-reference.com/players/f/foyera01/gamelog/
Tim Frazier,PG,nor,http://www.basketball-reference.com/players/f/fraziti01/gamelog/
Channing Frye,PF,cle,http://www.basketball-reference.com/players/f/fryech01/gamelog/
Danilo Gallinari,SF,den,http://www.basketball-reference.com/players/g/gallida01/gamelog/
Langston Galloway,SG,nor,http://www.basketball-reference.com/players/g/gallola01/gamelog/
